"twitterId";"username";"created_at";"tweet";"retweet_count";"location";"place"
35;"somatorio";"2020-02-09 00:14:03";"RT @fernandoike: Está afim de uma mentoria sobre #DevOps? O João Maia está voluntariamente disponibilizando um tempo dele para ajudar as pe…";0;"";""
36;"jbautistam";"2020-02-09 00:14:25";"RT @snavarropino: Pues me dan la oportunidad de ir al @netcoreconf de Valencia a hablar de #devops. Muy agradecido!

Hablaré de Canary rele…";0;"Madrid";""
37;"marcelofmatos";"2020-02-09 00:15:15";"RT @fernandoike: Está afim de uma mentoria sobre #DevOps? O João Maia está voluntariamente disponibilizando um tempo dele para ajudar as pe…";0;"Mundo";""
38;"ttavlas";"2020-02-09 00:17:16";"Open Banking is Accelerating Financial Services Transformation Says Fiserv Whitepaper - https://t.co/CdGb9TwGcx -… https://t.co/bzMJIkXXc7";0;"Wien- Austria";""
39;"DigitalColmer";"2020-02-09 00:17:23";"Fun DevOps Animation - PAUL COLMER - Video

https://t.co/pDCH7urtOh 

#TheDigitalCoach #Agile #DevOps";0;"Brisbane";""
40;"jsclmedave";"2020-02-09 00:18:29";"RT @mikefrobbins: Using #Powershell to automate Linux, macOS, and Windows processes | https://t.co/ga0M8ryV2l - https://t.co/djzMrukB8L #De…";0;"Flower Mound, TX";""
41;"ChampionMyzter";"2020-02-09 00:19:21";"RT @TheDaveCrist: Rest In Peace good boy #swagger https://t.co/ndnbk2B0rZ";0;"United States";""
42;"digitaltransf11";"2020-02-09 00:19:36";"RT @ttavlas: Open Banking is Accelerating Financial Services Transformation Says Fiserv Whitepaper - https://t.co/CdGb9TwGcx - https://t.co…";0;"";""
43;"wellpaidio";"2020-02-09 00:19:45";"High Rate Alert: Solutions Architect | $65 - $70/hour | Cambridge, MA | #devops #docker #etl https://t.co/6nHyLFcbwk";0;"London, England";""
44;"ITjob8";"2020-02-09 00:22:04";"Vous rechercher des missions I.T qui vous correspondent ? #freelance ----&gt; https://t.co/uq75NJ9Hbk  #DevOps #Programmation #Developers";0;"";""
45;"TechTrainerTim";"2020-02-09 00:29:17";"RT @mike_pfeiffer: Pictures are worth a thousand words and this post does a great job of explaining Git concepts through diagrams in a way…";0;"Nashville, TN";""
46;"peerxp";"2020-02-09 00:30:06";"RT @ITjob8: Vous rechercher des missions I.T qui vous correspondent ? #freelance ----&gt; https://t.co/uq75NJ9Hbk  #DevOps #Programmation #Dev…";0;"Bengaluru, India";""
47;"RootLevelTech";"2020-02-09 00:35:02";"Rancher Rodeo is coming to TX this March! If you're interested in a free hands-on workshop, sign up today!… https://t.co/YItnd0tnxd";0;"Houston, TX";""
48;"DhanarajanSugu1";"2020-02-09 00:36:01";"RT @javarevisited: Do you want to master Spring Boot in 2020? These are the best courses you can take https://t.co/klJFNv3aBs #springboot #…";0;"United States";""
